description	price	prime	url	stars	num_reviews
Fasgear Cavo di alimentazione PCIe 5.0 GPU manicotto 70 cm | Connettore 16pin (12+4) 12VHPWR per RTX 3090 Ti 4080 4090 | 3x8pin (6+2) PCI-e maschio spine compatibili per ASUS EVGA Seasonic modulare	37,98	True	https://www.amazon.it/Fasgear-alimentazione-manicotto-Connettore-compatibili/dp/B0BN1F9HJX/ref=sr_1_55?keywords=gpu&qid=1699106662&sr=8-55	4,5	331
PELADN AMD Radeon RX 580 8 GB, Scheda grafica gaming per giochi e mining di criptovaluta, 30 mh/s, 3 porte DP, 1 porta HDMI, GDDR5, Bus 256 bit, GPU Ellesmere, basso consumo 130 W (Gaming)	148,75	True	https://www.amazon.it/Grafica-Multimediali-Editing-Ellesmere-consumo/dp/B0B1QTMN6G/ref=sr_1_56?keywords=gpu&qid=1699106662&sr=8-56	4,1	96
Schede Grafiche AMD per Radeon HD7670, 4GB GDDR5 Computer PC Gaming Video GPU Scheda Grafica, 128-Bit, Supporto DirectX 11 PCI Express X16 2.1 DVI, HDMI, VGA	51,53	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYXRmOjIwMDk1MTQzMzY1Mzk4OjowOjo&url=%2FGrafiche-Computer-Grafica-128-Bit-Supporto%2Fdp%2FB0BGM23YML%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3,1	19
Ocnvlia HD6770 PCIE X16 PCI-E 2.0 Scheda Grafica Discreta GPU 1GB GDDR5 Scheda Video VGA DVI Un 128 Bit per AMD Radeon HD6770	110,21	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYXRmOjMwMDAxOTcyOTI1ODczMjo6MDo6&url=%2FOcnvlia-HD6770-PCIE-X16-PCI%2Fdp%2FB0B7VPFWDZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3,0	3
QTHREE Scheda grafica AMD Radeon RX 550, 4 GB, GDDR5, 128 Bit, scheda video da gioco desktop per PC, PCI Express 3.0 X8, DirectX 12, GPU per computer, DisplayPort, HDMI, DVI-D Dual Link	99,99	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYXRmOjMwMDA0MTgyMTU5NjYzMjo6MDo6&url=%2FSAPLOS-Radeon-RX-550-computer%2Fdp%2FB09PYHXPTQ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4,3	22
Pvczool Scheda grafica GT210 1GB DDR2 64 bit PCIE 2.0 GPU Scheda Video Desktop DVI VGA Compatibile	39,94	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYXRmOjMwMDAyMjI2OTE4MTczMjo6MDo6&url=%2FPvczool-Scheda-grafica-Desktop-Compatibile%2Fdp%2FB0BQHZ59XM%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1		
HP AMD FirePro 2270 NVIDIA QUADRO RTX5000 16GB CTLR	1.719,00	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfbXRmOjIwMTQxNDI2NjQ1NDk4OjowOjo&url=%2FHP-NVIDIA-Quadro-5000-16GB%2Fdp%2FB07PJSNX3F%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	4,7	2
CINNANI Supporto scheda grafica, Staffa per GPU 50-80MM, Staffa di Supporto in lega di alluminio e magnesio Nero, Supporto Scheda Video, GPU Stütze Bracke	14,88	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfbXRmOjMwMDA4MDAyNTE0MTYzMjo6MDo6&url=%2FCINNANI-Supporto-grafica-alluminio-magnesio%2Fdp%2FB0CC2RP2RC%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	4,7	21
EKWB Kit di disconnessione rapida GPU EK-Pro	135,30	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfbXRmOjIwMTI0MzQ5MzIyMDk4OjowOjo&url=%2FEKWB-EK-Pro-Kit-disconnessione-rapida%2Fdp%2FB0855BBLPM%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	5,0	3
Gintai - Cavo di Alimentazione per Scheda Grafica CPU 8 Pin Maschio a Doppio PCIe 8 Pin Femmina, Ricambio per NVIDIA Tesla K80/M40/M60/P40/P100 030-0571-000 (10 cm)	14,98	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfbXRmOjMwMDAyNzUwMzExMzczMjo6MDo6&url=%2FGintai-alimentazione-scheda-grafica-030-0571-000%2Fdp%2FB086BRVW34%2Fref%3Dsr_1_36_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-36-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	4,8	12
SISS Ventola di raffreddamento per schede grafiche XFX RX 590 580 570 95 mm CF1010U12S GPU Cooler Fan for Graphics Card Cooling	19,99	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYnRmOjMwMDA1NDI0NTg3NjMzMjo6MDo6&url=%2FVentola-raffreddamento-grafiche-CF1010U12S-Graphics%2Fdp%2FB09BXY8N5Y%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1	4,1	22
EKWB Piastra posteriore attiva della GPU di Strix RTX 3080/3090 di EK-Quantum, acetale	169,99	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToyMDQ0NDk1Mzk5MzgxNjcyOjE2OTkxMDY2NjI6c3BfYnRmOjIwMTI0MzQ5MzIwMDk4OjowOjo&url=%2FEKWB-EK-Quantum-Vector-Active-Acetale%2Fdp%2FB09C552511%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dgpu%26qid%3D1699106662%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1	4,8	9
